[2025-02-18 15:40:13] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-02-18 15:40:13] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2025-02-18 15:40:13] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-02-18 15:40:15] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-02-18 15:40:15] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-02-18 15:40:15] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-02-18 15:40:15] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\PC\Local Sites\myproject-1\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1739893213\
[2025-02-18 15:40:15] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost:10052/
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/tada.min.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.min.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.min.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.min.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.css
[2025-02-18 15:40:15] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.min.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.min.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.min.js
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/eicons/eicons.json
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot
[2025-02-18 15:40:16] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost:10052/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg
